"indicator","period","start","end","group","subgroup","value"
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Alabama",22.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Alaska",16.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Arizona",18.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Arkansas",24.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","California",15.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Colorado",17
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Connecticut",18.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Delaware",19.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","District of Columbia",18
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Florida",19
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Georgia",21.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Hawaii",12.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Idaho",22.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Illinois",17.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Indiana",23.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Iowa",23.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Kansas",21.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Kentucky",26.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Louisiana",23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Maine",23.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Maryland",17.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Massachusetts",19.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Michigan",20.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Minnesota",20.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Mississippi",20.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Missouri",23.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Montana",18.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Nebraska",23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Nevada",15
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","New Hampshire",21.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","New Jersey",18.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","New Mexico",18.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","New York",17.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","North Carolina",19.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","North Dakota",19.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Ohio",21.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Oklahoma",21.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Oregon",22.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Pennsylvania",22.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Rhode Island",23.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","South Carolina",20.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","South Dakota",17.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Tennessee",21.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Texas",16.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Utah",23.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Vermont",23.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Virginia",18.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Washington",20.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","West Virginia",22.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Wisconsin",19.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Wyoming",18.7
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Alabama",8.5
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Alaska",7.5
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Arizona",7.3
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Arkansas",6.1
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","California",9.5
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Colorado",10.1
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Connecticut",12.3
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Delaware",10
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","District of Columbia",19.1
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Florida",7.8
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Georgia",7.9
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Hawaii",11.9
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Idaho",8.3
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Illinois",8.8
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Indiana",6.8
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Iowa",8.1
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Kansas",7.7
