lnbwt,bwt,edfather,edmother,parity,male,famincom,cigspreg
4.691348,109.0000128,12,12,1,1,13.5,0
4.89784,134.0000268,14,12,2,1,27.5,0
4.941642,139.9999408,16,14,2,0,65,0
4.795791,121.000055,12,17,2,0,27.5,0
4.859812,128.9999478,16,18,2,0,37.5,0
4.890349,132.9999829,16,15,1,1,27.5,0
4.644391,104.0000105,12,12,1,1,10.5,0
4.804021,121.9999945,13,13,1,1,17.5,0
5.068904,158.9999678,18,16,1,1,42.5,0
4.844187,126.999989,16,17,1,0,47.5,0
4.672829,107.0000177,12,12,2,1,22.5,0
4.859812,128.9999478,8,11,2,1,15.5,6
5.049856,155.9999989,11,11,1,0,37.5,0
4.718499,112.0000144,12,12,2,1,32.5,0
4.820282,124.0000539,12,12,1,1,22.5,0
4.736198,113.9999489,12,12,1,0,65,0
4.820282,124.0000539,16,13,1,1,65,0
4.804021,121.9999945,16,16,2,1,65,0
4.65396,104.9999632,5,8,3,0,7.5,0
4.727388,113.0000205,16,16,2,1,47.5,0
4.875197,130.9999577,12,12,2,1,65,0
4.672829,107.0000177,16,14,1,0,65,0
4.744932,114.9999852,12,9,1,1,32.5,0
4.663439,105.99999,12,12,1,1,65,0
4.882802,132.0000102,15,12,1,1,47.5,0
4.682131,107.9999755,18,16,1,1,37.5,0
4.89784,134.0000268,14,12,1,1,18.5,0
4.94876,141.0000155,18,16,1,1,65,0
4.430817,84.0000169,12,12,1,1,11.5,0
4.867535,130.0000714,16,18,1,1,65,0
4.890349,132.9999829,13,13,1,1,16.5,0
4.682131,107.9999755,12,12,2,0,22.5,0
4.521789,92.00003891,16,14,2,0,42.5,0
4.844187,126.999989,12,14,2,1,32.5,0
4.875197,130.9999577,11,9,1,1,11.5,0
4.644391,104.0000105,16,15,1,0,65,0
4.804021,121.9999945,12,12,1,0,27.5,0
4.574711,97.00000209,12,12,2,1,27.5,0
4.770685,118.0000443,16,13,3,1,65,0
4.736198,113.9999489,0,11,3,0,3.5,0
4.94876,141.0000155,12,13,1,0,65,0
4.672829,107.0000177,11,12,2,0,22.5,0
5.02388,151.9999208,12,10,1,1,22.5,0
4.905275,135.0000299,12,12,1,0,27.5,0
